host,date,git_commit,parlay_threads,engine_name,workload,seed,num_vertices,delta_cap,batch_size,palette_multiplier,palette_size,max_rounds,updates_requested,updates_generated,updates_applied,updates_rejected,accepted_ratio,batches_generated,batches_applied,batch_accepted_ratio,generation_attempts,generator_same_color_attempts,generator_same_color_chosen,generator_same_color_fallbacks,initial_edges_requested,initial_edges,final_edges,target_accepted,insert_ratio,max_generation_attempts,build_seconds,update_seconds,validate_seconds,throughput_updates_per_second,max_degree_observed,graph_validated,coloring_validated,vertices_touched_total,total_rounds,fallback_count,repair_calls,repair_rounds,sequential_repair_calls,sequential_repair_rounds,active_vertices_initial_total,active_vertices_expanded_total,conflicted_vertices_initial_total,neighbor_scans,commits_total,repair_seconds,active_build_seconds,recolor_calls,recolored_vertices_total,cascade_steps_total,full_fallback_count,level_conflict_choices,active_vertices_total,repair_rounds_total,proposal_count,commit_count,unresolved_count,sequential_fast_path_count,validation_message,color_validation_message
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","mixed_valid","1","1000","16","1","4","65","4","1000","1000","1000","0","1","0","0","0","1033","0","0","0","0","0","10","0","0.5","100000","0.103799","0.015374","8.4839e-05","65045.1","1","1","1","504","252","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","batch_valid","1","1000","16","16","4","65","4","1024","1024","1024","0","1","0","0","0","1026","0","0","0","0","0","1024","0","0.5","102400","0.0253139","0.0114405","0.000443317","89506.4","8","1","1","672","63","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","conflict_heavy","1","1000","16","1","4","65","4","1000","1000","1000","0","1","0","0","0","37486","37486","1000","0","0","0","1000","0","0.5","100000","0.10604","0.0558659","0.000417799","17900","7","1","1","2000","1000","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","conflict_heavy","1","1000","16","16","4","65","4","1024","1024","1024","0","1","64","64","1","36795","36795","1024","0","0","0","1024","0","0.5","102400","0.0249213","0.0136256","0.000447065","75152.4","6","1","1","2002","65","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","valid_insertions","1","1000","16","1","","17","4","1000","1000","1000","0","1","0","0","0","1002","0","0","0","0","0","1000","0","0.5","100000","0.0916129","0.344484","0.000437066","2902.89","8","1","1","500","","0","","","","","","","","","","","","","","","","","500","500","500","500","0","500","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","mixed_valid","1","1000","16","1","","17","4","1000","1000","1000","0","1","0","0","0","1033","0","0","0","0","0","10","0","0.5","100000","0.0255674","0.148566","8.7093e-05","6731","1","1","1","346","","0","","","","","","","","","","","","","","","","","346","346","346","346","0","346","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","batch_valid","1","1000","16","16","","17","4","1024","1024","1024","0","1","0","0","0","1026","0","0","0","0","0","1024","0","0.5","102400","0.0243178","0.0747512","0.000451081","13698.8","8","1","1","510","","0","","","","","","","","","","","","","","","","","510","64","510","509","0","64","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","conflict_heavy","1","1000","16","1","","17","4","1000","1000","1000","0","1","0","0","0","5387","5387","1000","0","0","0","1000","0","0.5","100000","0.0242566","0.361004","0.000453837","2770.06","9","1","1","1000","","0","","","","","","","","","","","","","","","","","1000","1000","1000","1000","0","1000","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","conflict_heavy","1","1000","16","16","","17","4","1024","1024","1024","0","1","64","64","1","5680","5680","1024","0","0","0","1024","0","0.5","102400","0.0246845","0.025182","0.000472722","40664","9","1","1","1014","","0","","","","","","","","","","","","","","","","","1010","66","1014","1012","4","64","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","valid_insertions","2","1000","16","1","","","","1000","1000","1000","0","1","0","0","0","1002","0","0","0","0","0","1000","0","0.5","100000","0.0238971","0.183607","0.000429431","5446.43","7","1","1","1000000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","mixed_valid","2","1000","16","1","","","","1000","1000","1000","0","1","0","0","0","1011","0","0","0","0","0","76","0","0.5","100000","0.106783","0.0449292","0.000108041","22257.3","2","1","1","538000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","batch_valid","2","1000","16","16","","","","1024","1024","1024","0","1","0","0","0","1026","0","0","0","0","0","1024","0","0.5","102400","0.0251711","0.0166134","0.00048737","61636.9","7","1","1","64000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","conflict_heavy","2","1000","16","1","","","","1000","1000","1000","0","1","0","0","0","1861","1861","1000","0","0","0","1000","0","0.5","100000","0.024717","0.149391","0.000422057","6693.83","7","1","1","1000000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","conflict_heavy","2","1000","16","16","","","","1024","1024","1024","0","1","64","64","1","1904","1904","1024","0","0","0","1024","0","0.5","102400","0.0272253","0.0165959","0.000477231","61702","9","1","1","64000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","valid_insertions","2","1000","16","1","","17","","1000","1000","1000","0","1","0","0","0","1002","0","0","0","0","0","1000","0","0.5","100000","0.0248761","0.281744","0.000418771","3549.33","7","1","1","570","","","","","","","","","","","","","","570","570","570","0","539","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","mixed_valid","2","1000","16","1","","17","","1000","1000","1000","0","1","0","0","0","1011","0","0","0","0","0","76","0","0.5","100000","0.0245903","0.0944851","0.000103964","10583.7","2","1","1","368","","","","","","","","","","","","","","368","368","368","0","348","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","batch_valid","2","1000","16","16","","17","","1024","1024","1024","0","1","0","0","0","1026","0","0","0","0","0","1024","0","0.5","102400","0.024399","0.0238286","0.000445892","42973.5","7","1","1","590","","","","","","","","","","","","","","590","580","590","0","557","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","conflict_heavy","2","1000","16","1","","17","","1000","1000","1000","0","1","0","0","0","2184","2184","1000","0","0","0","1000","0","0.5","100000","0.0240457","0.299434","0.00041794","3339.64","6","1","1","1000","","","","","","","","","","","","","","1000","1000","1000","0","946","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","conflict_heavy","2","1000","16","16","","17","","1024","1024","1024","0","1","64","64","1","2240","2240","1024","0","0","0","1024","0","0.5","102400","0.0238972","0.0782067","0.000450281","13093.5","6","1","1","1024","","","","","","","","","","","","","","1024","1006","1024","0","966","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","valid_insertions","2","1000","16","1","4","65","4","1000","1000","1000","0","1","0","0","0","1002","0","0","0","0","0","1000","0","0.5","100000","0.025505","0.0956907","0.000427147","10450.3","7","1","1","682","341","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","mixed_valid","2","1000","16","1","4","65","4","1000","1000","1000","0","1","0","0","0","1011","0","0","0","0","0","76","0","0.5","100000","0.101246","0.0175859","0.00011274","56863.8","2","1","1","506","253","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","batch_valid","2","1000","16","16","4","65","4","1024","1024","1024","0","1","0","0","0","1026","0","0","0","0","0","1024","0","0.5","102400","0.0240088","0.0114711","0.000438519","89267.4","7","1","1","686","60","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","conflict_heavy","2","1000","16","1","4","65","4","1000","1000","1000","0","1","0","0","0","35300","35300","1000","0","0","0","1000","0","0.5","100000","0.0237515","0.0556863","0.000421146","17957.7","7","1","1","2000","1000","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","conflict_heavy","2","1000","16","16","4","65","4","1024","1024","1024","0","1","64","64","1","35740","35740","1024","0","0","0","1024","0","0.5","102400","0.109984","0.0136004","0.000443568","75291.9","7","1","1","2006","65","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","valid_insertions","2","1000","16","1","","17","4","1000","1000","1000","0","1","0","0","0","1002","0","0","0","0","0","1000","0","0.5","100000","0.102799","0.34679","0.000440713","2883.59","7","1","1","512","","0","","","","","","","","","","","","","","","","","512","512","512","512","0","512","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","mixed_valid","2","1000","16","1","","17","4","1000","1000","1000","0","1","0","0","0","1011","0","0","0","0","0","76","0","0.5","100000","0.025338","0.181321","0.000108713","5515.08","2","1","1","344","","0","","","","","","","","","","","","","","","","","344","344","344","344","0","344","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","batch_valid","2","1000","16","16","","17","4","1024","1024","1024","0","1","0","0","0","1026","0","0","0","0","0","1024","0","0.5","102400","0.0233799","0.0742505","0.000451653","13791.2","7","1","1","518","","0","","","","","","","","","","","","","","","","","518","64","518","518","0","64","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","conflict_heavy","2","1000","16","1","","17","4","1000","1000","1000","0","1","0","0","0","5380","5380","1000","0","0","0","1000","0","0.5","100000","0.024356","0.390707","0.000432908","2559.46","9","1","1","1000","","0","","","","","","","","","","","","","","","","","1000","1000","1000","1000","0","1000","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","conflict_heavy","2","1000","16","16","","17","4","1024","1024","1024","0","1","64","64","1","5706","5706","1024","0","0","0","1024","0","0.5","102400","0.0244559","0.0741148","0.000455691","13816.4","9","1","1","1017","","0","","","","","","","","","","","","","","","","","1013","66","1017","1015","4","64","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","valid_insertions","3","1000","16","1","","","","1000","1000","1000","0","1","0","0","0","1001","0","0","0","0","0","1000","0","0.5","100000","0.0246736","0.189882","0.000422568","5266.43","8","1","1","1000000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","mixed_valid","3","1000","16","1","","","","1000","1000","1000","0","1","0","0","0","1019","0","0","0","0","0","46","0","0.5","100000","0.0986611","0.0400337","0.000100237","24979","2","1","1","523000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","batch_valid","3","1000","16","16","","","","1024","1024","1024","0","1","0","0","0","1025","0","0","0","0","0","1024","0","0.5","102400","0.10412","0.01663","0.00047678","61575.3","8","1","1","64000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","conflict_heavy","3","1000","16","1","","","","1000","1000","1000","0","1","0","0","0","1914","1914","1000","0","0","0","1000","0","0.5","100000","0.107809","0.146665","0.000419654","6818.24","7","1","1","1000000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","conflict_heavy","3","1000","16","16","","","","1024","1024","1024","0","1","64","64","1","1938","1938","1024","0","0","0","1024","0","0.5","102400","0.0990875","0.0169797","0.000474826","60307.4","7","1","1","64000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","valid_insertions","3","1000","16","1","","17","","1000","1000","1000","0","1","0","0","0","1001","0","0","0","0","0","1000","0","0.5","100000","0.0258715","0.293654","0.000432487","3405.37","8","1","1","592","","","","","","","","","","","","","","592","592","592","0","562","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","mixed_valid","3","1000","16","1","","17","","1000","1000","1000","0","1","0","0","0","1019","0","0","0","0","0","46","0","0.5","100000","0.0259642","0.13799","9.4907e-05","7246.92","2","1","1","374","","","","","","","","","","","","","","374","374","374","0","351","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","batch_valid","3","1000","16","16","","17","","1024","1024","1024","0","1","0","0","0","1025","0","0","0","0","0","1024","0","0.5","102400","0.109148","0.0239129","0.000454258","42822","8","1","1","607","","","","","","","","","","","","","","607","598","607","0","576","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","conflict_heavy","3","1000","16","1","","17","","1000","1000","1000","0","1","0","0","0","2271","2271","1000","0","0","0","1000","0","0.5","100000","0.0244229","0.276089","0.000408772","3622.02","10","1","1","1000","","","","","","","","","","","","","","1000","1000","1000","0","948","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","conflict_heavy","3","1000","16","16","","17","","1024","1024","1024","0","1","64","64","1","2293","2293","1024","0","0","0","1024","0","0.5","102400","0.0949089","0.0244753","0.000449018","41838.1","10","1","1","1024","","","","","","","","","","","","","","1024","1001","1024","0","970","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","valid_insertions","3","1000","16","1","4","65","4","1000","1000","1000","0","1","0","0","0","1001","0","0","0","0","0","1000","0","0.5","100000","0.0907406","0.05046","0.000431836","19817.7","8","1","1","676","338","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","mixed_valid","3","1000","16","1","4","65","4","1000","1000","1000","0","1","0","0","0","1019","0","0","0","0","0","46","0","0.5","100000","0.0984738","0.0159816","0.000104956","62571.9","2","1","1","512","256","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","batch_valid","3","1000","16","16","4","65","4","1024","1024","1024","0","1","0","0","0","1025","0","0","0","0","0","1024","0","0.5","102400","0.0245596","0.0114713","0.000452715","89266","8","1","1","677","62","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","conflict_heavy","3","1000","16","1","4","65","4","1000","1000","1000","0","1","0","0","0","34978","34978","1000","0","0","0","1000","0","0.5","100000","0.0233131","0.0558519","0.000430042","17904.5","7","1","1","2000","1000","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","conflict_heavy","3","1000","16","16","4","65","4","1024","1024","1024","0","1","64","64","1","36896","36896","1024","0","0","0","1024","0","0.5","102400","0.0235003","0.0137317","0.000453747","74571.7","7","1","1","2006","64","0","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","valid_insertions","3","1000","16","1","","17","4","1000","1000","1000","0","1","0","0","0","1001","0","0","0","0","0","1000","0","0.5","100000","0.0241429","0.362426","0.000447486","2759.18","8","1","1","506","","0","","","","","","","","","","","","","","","","","506","506","506","506","0","506","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","mixed_valid","3","1000","16","1","","17","4","1000","1000","1000","0","1","0","0","0","1019","0","0","0","0","0","46","0","0.5","100000","0.0253793","0.144968","0.000103523","6898.05","2","1","1","345","","0","","","","","","","","","","","","","","","","","345","345","345","345","0","345","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","batch_valid","3","1000","16","16","","17","4","1024","1024","1024","0","1","0","0","0","1025","0","0","0","0","0","1024","0","0.5","102400","0.0263256","0.0683226","0.000452655","14987.7","8","1","1","510","","0","","","","","","","","","","","","","","","","","510","64","510","510","0","64","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_exact","conflict_heavy","3","1000","16","1","","17","4","1000","1000","1000","0","1","0","0","0","5262","5262","1000","0","0","0","1000","0","0.5","100000","0.0251541","0.401609","0.000427317","2489.98","12","1","1","1000","","0","","","","","","","","","","","","","","","","","1000","1000","1000","1000","0","1000","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:34:20-0400","7d13e8a","default","par_exact","conflict_heavy","3","1000","16","16","","17","4","1024","1024","1024","0","1","64","64","1","5262","5262","1024","0","0","0","1024","0","0.5","102400","0.0236622","0.0249503","0.000451563","41041.7","12","1","1","1016","","0","","","","","","","","","","","","","","","","","1008","68","1016","1007","8","64","",""
